Variable,Value
"x_p[(d6,o1),(d3,o2)]",-0.0
"x_p[(d6,o50),(d2,o50)]",-0.0
"x_p[(d2,o33),(d4,o35)]",-0.0
"x_p[(d1,o26),(d3,o27)]",-0.0
"x_p[(d2,o10),(d7,o3)]",-0.0
"x_p[(d3,o14),(d5,o12)]",-0.0
"x_p[(d1,o45),(d4,o46)]",-0.0
"x_p[(d2,o6),(d4,o4)]",-0.0
"x_p[(d5,o7),(d2,o2)]",0.0
"x_p[(d1,o6),(d7,o10)]",-0.0
"x_p[(d1,o32),(d2,o36)]",-0.0
"x_p[(d3,o19),(d3,o18)]",-0.0
"x_p[(d3,o29),(d1,o30)]",-0.0
"x_p[(d5,o35),(d6,o28)]",-0.0
"x_p[(d7,o30),(d2,o20)]",-0.0
"x_p[(d1,o11),(d1,o11)]",1.0
"x_p[(d6,o1),(d6,o11)]",-0.0
"x_p[(d3,o13),(d6,o7)]",-0.0
"x_p[(d7,o13),(d4,o19)]",-0.0
"x_p[(d4,o17),(d5,o22)]",-0.0
"x_p[(d4,o51),(d5,o43)]",-0.0
"x_p[(d5,o50),(d4,o42)]",-0.0
"x_p[(d7,o46),(d7,o45)]",-0.0
"x_p[(d2,o8),(d2,o18)]",-0.0
"x_p[(d7,o12),(d3,o18)]",-0.0
"x_p[(d2,o36),(d3,o34)]",-0.0
"x_p[(d4,o3),(d5,o5)]",-0.0
"x_p[(d5,o5),(d5,o2)]",-0.0
"x_p[(d5,o36),(d5,o33)]",-0.0
"x_p[(d1,o28),(d6,o34)]",-0.0
"x_p[(d3,o26),(d5,o32)]",-0.0
"x_p[(d5,o18),(d3,o9)]",-0.0
"x_p[(d7,o14),(d5,o11)]",-0.0
"x_p[(d6,o33),(d1,o35)]",-0.0
"x_p[(d1,o49),(d6,o41)]",-0.0
"x_p[(d1,o9),(d5,o18)]",-0.0
"x_p[(d7,o10),(d7,o11)]",-0.0
"x_p[(d4,o4),(d6,o5)]",-0.0
"x_p[(d7,o38),(d6,o40)]",-0.0
"x_p[(d6,o13),(d3,o10)]",-0.0
"x_p[(d6,o7),(d6,o7)]",1.0
"x_p[(d5,o12),(d5,o15)]",-0.0
"x_p[(d1,o29),(d3,o26)]",-0.0
"x_p[(d4,o29),(d4,o33)]",-0.0
"x_p[(d7,o15),(d6,o13)]",-0.0
"x_p[(d7,o39),(d1,o44)]",-0.0
"x_p[(d2,o15),(d3,o6)]",-0.0
"x_p[(d4,o30),(d2,o21)]",-0.0
"x_p[(d3,o14),(d6,o8)]",-0.0
"x_p[(d6,o16),(d1,o17)]",-0.0
"x_p[(d3,o17),(d4,o25)]",-0.0
"x_p[(d2,o40),(d3,o43)]",-0.0
"x_p[(d1,o45),(d2,o36)]",-0.0
"x_p[(d4,o17),(d6,o12)]",-0.0
"x_p[(d1,o38),(d4,o33)]",-0.0
"x_p[(d1,o6),(d1,o1)]",-0.0
"x_p[(d1,o5),(d4,o10)]",-0.0
"x_p[(d3,o21),(d3,o20)]",-0.0
"x_p[(d2,o2),(d2,o8)]",-0.0
"x_p[(d2,o39),(d6,o30)]",-0.0
"x_p[(d4,o42),(d3,o52)]",-0.0
"x_p[(d3,o51),(d6,o49)]",-0.0
"x_p[(d1,o38),(d2,o34)]",-0.0
"x_p[(d7,o1),(d2,o7)]",-0.0
"x_p[(d4,o18),(d7,o20)]",0.0
"x_p[(d5,o6),(d3,o2)]",-0.0
"x_p[(d6,o27),(d1,o28)]",-0.0
"x_p[(d1,o31),(d3,o35)]",-0.0
"x_p[(d1,o35),(d2,o36)]",-0.0
"x_p[(d6,o31),(d5,o30)]",-0.0
